Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Gun Sense Candidate?,Biden Endorsed?,Warren Endorsed?,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners,Total Endorsements,Endorsed,receipts,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Female,SinglePayer
Robert Klepinger,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,0,None,None,-8.4799995,25.6,0,0,0,0,0,1,No,,,,,,,,,,,,,,3,0.0,0,0.0,0,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate provides no information,1,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Theresa Gasper,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,1,None,On the Ballot,-8.4799995,67.019997,1,0,0,0,0,0,No,,,,,,,,,,,,,,3,0.0,0,1209688.24,0,Other,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
Danny O'Connor,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,1,None,On the Ballot,-13.63,40.52,1,0,0,1,0,0,No,,,1.0,,,,,0.0,,1.0,,,,13,2.0,1,8504867.51,0,J.D.,No information,1,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,0
Doug Wilson,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,0,None,None,-13.63,3.74,0,0,0,1,0,0,No,,,0.0,,,,,0.0,,0.0,,,,13,0.0,0,0.0,0,Other,No information,1,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,1,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Ed Albertson,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,0,None,None,-13.63,7.8600001,0,0,0,0,0,0,No,,,0.0,,,,,0.0,,0.0,,,,13,0.0,0,27509.82,1,Other,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Jackie Patton,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,0,None,None,-13.63,14.02,0,0,0,0,0,0,No,,,1.0,,,,,0.0,,0.0,,,,13,1.0,1,33439.54,0,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,1
John Peters,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,0,None,None,-13.63,1.49,0,0,0,0,0,0,No,,,0.0,,,,,0.0,,0.0,,,,13,0.0,0,0.0,0,Master's Degree (includes MBA),Married,0,Candidate provides no information,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,0.0,0
John Russell,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,0,None,None,-13.63,16.27,0,0,0,0,0,0,No,,,1.0,,,,,1.0,,0.0,,,,13,2.0,1,140127.85,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Zach Scott,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,0,None,None,-13.63,16.1,0,0,0,1,0,0,No,,,0.0,,,,,0.0,,0.0,,,,13,0.0,0,58967.62,0,Other,Married,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides no information,Candidate provides no information,Moderate Democrat,0.0,0
Rick Neal,OH,U.S. House Ohio District 15,Representative,Regular,5/8/18,1,None,On the Ballot,-15.48,63.540001,1,0,1,0,0,0,No,,,1.0,,,,,,,,,,,2,1.0,1,1328023.44,0,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Rob Jarvis,OH,U.S. House Ohio District 15,Representative,Regular,5/8/18,0,None,None,-15.48,36.459999,0,0,0,0,0,0,No,,,0.0,,,,,,,,,,,2,0.0,0,0.0,0,Other,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Aaron Godfrey,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,0,None,None,-17.030001,7.9099998,0,0,0,0,0,1,No,,,1.0,,,,1.0,,,,,,,6,2.0,1,9804.2,0,Master's Degree (includes MBA),No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),1,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Grant Goodrich,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,0,None,None,-17.030001,28.059999,0,0,0,0,0,0,No,,,1.0,,,,0.0,,,,,,,6,1.0,1,185147.02,1,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,"Candidate opposes business regulations and other ""red tape""",Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,1,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate opposes reductions in military spending,Candidate supports status quo efforts to combat terrorism,Candidate notes Russia as political enemy of the United States,Establishment Democrat,0.0,1
John Wilson,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,0,None,None,-17.030001,4.48,0,0,0,0,0,0,No,,,0.0,,,,0.0,,,,,,,6,0.0,0,0.0,0,Other,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,0.0,0
Mark Dent,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,0,None,None,-17.030001,9.3800001,0,0,0,0,0,0,No,,,0.0,,,,0.0,,,,,,,6,0.0,0,0.0,1,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.),Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Susan Moran Palmer,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,1,None,On the Ballot,-17.030001,34.630001,1,0,0,0,0,0,No,,,1.0,,,,0.0,,,,,,,6,1.0,1,473098.14,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate provides no information,1,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
TJ Mulloy,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,0,None,None,-17.030001,15.54,0,0,0,0,0,0,No,,,0.0,,,,0.0,,,,,,,6,0.0,0,33171.3,0,Bachelor's or some college,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Janet Everhard,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,0,None,None,-17.360001,34.400002,0,0,0,0,0,0,No,,,1.0,,,,,,,,,,,3,1.0,1,57777.75,0,Other Graduate,No information,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides complicated/complex/unclear position,1,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,1
Jill Schiller,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,1,None,On the Ballot,-17.360001,54.200001,1,0,0,0,0,0,Yes,,,1.0,,,,,,,,,,,3,1.0,1,606159.38,0,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
William Smith,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,0,None,None,-17.360001,11.4,0,0,0,0,0,0,No,,,0.0,,,,,,,,,,,3,0.0,0,0.0,0,Other,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,0.0,0
Cody James Slatzer-Rose,OH,U.S. House Ohio District 4,Representative,Regular,5/8/18,0,None,None,-31.23,16.15,0,0,0,0,0,1,No,,,0.0,,,,,,,,,,,2,0.0,0,0.0,0,Other,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,0.0,0
Janet Garrett,OH,U.S. House Ohio District 4,Representative,Regular,5/8/18,1,None,On the Ballot,-31.23,83.849998,1,0,0,0,0,0,No,,,1.0,,,,,,,,,,,2,1.0,1,700139.29,0,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,0,Candidate supports major criminal justice reform,"Candidate supports local solutions to reform education (e.g. opposes common core, etc.)",Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate notes Russia as political enemy of the United States,Progressive Democrat,1.0,1
James Neu Jr.,OH,U.S. House Ohio District 5,Representative,Regular,5/8/18,0,None,None,-23.809999,26.700001,0,0,0,0,0,0,No,,,1.0,,,,,,,,,,,2,1.0,1,0.0,0,Other,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
John Michael Galbraith,OH,U.S. House Ohio District 5,Representative,Regular,5/8/18,1,None,On the Ballot,-23.809999,73.199997,1,0,0,0,0,0,No,,,0.0,,,,,,,,,,,2,0.0,0,212609.78,0,Master's Degree (includes MBA),Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),0,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Shawna Roberts,OH,U.S. House Ohio District 6,Representative,Regular,5/8/18,1,None,On the Ballot,-37.610001,74.5,1,0,0,0,0,0,No,,,,,,,,,,1.0,,,,2,1.0,1,23027.73,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,1
Werner Lange,OH,U.S. House Ohio District 6,Representative,Regular,5/8/18,0,None,None,-37.610001,25.5,0,0,0,0,0,0,No,,,,,,,,,,0.0,,,,2,0.0,0,797.0,0,Other,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate opposes climate change regulations OR denies the effects of climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,0.0,1
Ken Harbaugh,OH,U.S. House Ohio District 7,Representative,Regular,5/8/18,1,None,On the Ballot,-27.18,80.199997,1,0,0,0,0,0,No,1.0,,0.0,,,,,,,,,1.0,,2,2.0,1,3059075.7,1,Other,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,1
Patrick Pikus,OH,U.S. House Ohio District 7,Representative,Regular,5/8/18,0,None,None,-27.18,19.799999,0,0,0,0,0,0,No,0.0,,0.0,,,,,,,,,0.0,,2,0.0,0,5525.0,0,Master's Degree (includes MBA),Married,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate identifies with the pro-life position (i.e. anti-abortion),0,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Bill Ebben,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,0,None,None,-34.779999,12.18,0,0,0,0,0,0,No,,,0.0,,,,,,,,,,,4,0.0,0,0.0,1,J.D.,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-life position (i.e. anti-abortion),0,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,0.0,0
Matthew Guyette,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,0,None,None,-34.779999,13.63,0,0,1,0,0,0,No,,,0.0,,,,,,,,,,,4,0.0,0,3075.0,0,Other,No information,0,Candidate explicitly supports ACA,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides complicated/complex/unclear position,0,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate supports a reduction in military spending,Candidate supports status quo efforts to combat terrorism,Candidate notes Russia as political enemy of the United States,Establishment Democrat,0.0,0
Ted Jones,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,0,None,None,-34.779999,16.280001,0,0,0,0,0,0,No,,,0.0,,,,,,,,,,,4,0.0,0,5352.0,1,Bachelor's or some college,Married,0,Candidate explicitly supports ACA,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,0.0,0
Vanessa Enoch,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,1,None,On the Ballot,-34.779999,57.91,1,1,0,0,0,0,No,,,1.0,,,,,,,,,,,4,1.0,1,64238.3,0,Other Graduate,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,0
Amanda Douglas,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,1,On the Ballot,,-31.959999,32.41,0,0,0,0,0,0,No,,,1.0,,,,,,,,,,,5,1.0,1,11474.83,0,Bachelor's or some college,Married,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,1.0,1
David Matthew Hullum,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,0,None,,-31.959999,5.02,0,0,0,0,0,0,No,,,0.0,,,,,,,,,,,5,0.0,0,0.0,0,Other,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,0.0,0
Gwendolyn Fields,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,0,None,,-31.959999,19.620001,0,0,0,0,0,0,No,,,0.0,,,,,,,,,,,5,0.0,0,0.0,0,J.D.,No information,0,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,1.0,0
Mark Keeter,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,0,None,,-31.959999,8.46,0,0,0,0,0,0,No,,,0.0,,,,,,,,,,,5,0.0,0,0.0,0,Other,No information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,0,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,0.0,0
Tim Gilpin,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,1,On the Ballot,,-31.959999,34.48,0,0,0,0,0,0,No,,,0.0,,,,,,,,,,,5,0.0,0,402482.15,0,J.D.,Engaged,0,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,0,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports status quo efforts to combat terrorism,Candidate notes Russia as political enemy of the United States,Establishment Democrat,0.0,0
