"","Candidate.First.Name","Candidate.Last.Name","Candidate.State","Candidate.District","Candidate.Party","Incumbent","Freshman.Member","Candidate.Website.URL","Candidate.Gender","Listed.military.service.","Education","Marital.Status","Previous.Electoral.Experience","Position.on.Affordable.Care.Act..ObamaCare.","Position.on.Minimum.Wage","Position.on.Federal.Taxes","Position.on.Business.Regulations","Position.on.National.Debt.Deficit","Position.on.Social.Security","Position.on.Gun.Control","Position.on.Immigration","Position.on.Abortion","Position.on.Same.Sex.Marriage","Position.on.Criminal.Justice.Reform","Position.on.Federal.K.12.Education.Policy","Position.on.Climate.Change","Position.on.Campaign.Finance.Reform","Position.on.Legalization.Decriminalization.of.Marijuana.Policy","Position.on.Defense.Spending","Position.on.Handling.Terrorism.Abroad","Position.on.Russia","Party.Category","Party.Category.1","Incumbency","Female","Democrat","Republican","Trump.Mention","Obama.Mention","Sanders.Mention","Clinton.Mention","Special.Counsel.Mention","Travel.Ban.Mention","SinglePayer","Primary.Outcome","Primary.Runoff.Outcome"
"869","CHRIS","CHAFFEE","MD",0,"Republican","","","www.chrischaffeeforussenate.com","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate provides no information","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate notes Russia as political enemy of the United States","","Business/Establishment Republican",0,0,0,1,"POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"870","EVAN","CRONHARDT","MD",0,"Republican","","","evancronhardt.com","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate supports placing smart regulations on business","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate provides no information","Candidate provides no information","Candidate supports major criminal justice reform","Candidate provides complicated/complex/unclear position","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"871","CHRISTINA","GRIGORIAN","MD",0,"Republican","","","www.grigorianforsenate.com","Female","No, the candidate does not include any information about serving in the military","J.D.","Married","","Candidate provides no information","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",0,1,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"872","BILL","KREHNBRINK","MD",0,"Republican","","","NONE","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"873","GERALD","SMITH","MD",0,"Republican","","","NONE","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"874","BLAINE","TAYLOR","MD",0,"Republican","","","NONE","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"875","BRIAN","VAETH","MD",0,"Republican","","","www.vaethforgov.com","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports major criminal justice reform","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"876","NNABU","EZE","MD",0,"Republican","","","nnabueze.com","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate opposes major criminal justice reform","Candidate provides no information","Candidate provides no information","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"877","TONY","CAMPBELL","MD",0,"Republican","","","www.campbell4maryland.com","Male","Yes, the candidate serves or served in the military","Ph.D.","No information","","Candidate provides no information","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"878","STEVE","WORTON","MD",1,"Democrat","","","www.worton4congress.org","Male","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Married","","Candidate explicitly supports ACA","Candidate provides no information","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"879","MICHAEL","PULLEN","MD",1,"Democrat","","","www.pullenfor.us","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate supports major criminal justice reform","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"880","ALLISON","GALBRAITH","MD",1,"Democrat","","","allisonforcongress.com","Female","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Divorced","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports marriage equality measures","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"881","MICHAEL","BROWN","MD",1,"Democrat","","","NONE","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Other","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"882","ERIK","LANE","MD",1,"Democrat","","","www.eriklane.us","Male","No, the candidate does not include any information about serving in the military","Master's Degree (includes MBA)","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate supports gun control measures","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Moderate Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"883","JESSE","COLVIN","MD",1,"Democrat","","","www.jessecolvin.com","Female","Yes, the candidate serves or served in the military","Master's Degree (includes MBA)","Married","","Candidate explicitly supports ACA","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"884","LAMONT","TAYLOR","MD",1,"Republican","","","www.lamonttaylorforcongress.com","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate provides no information","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"885","MARTIN","ELBORN","MD",1,"Republican","","","http://martinelborn.wixsite.com/website","Male","Yes, the candidate serves or served in the military","No Education Information Listed","No information","","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate opposes business regulations and other ""red tape""","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"886","ANDY","HARRIS","MD",1,"Republican","Candidate is an incumbent Member of Congress","","www.andyharris.com","Male","Yes, the candidate serves or served in the military","M.D./D.M.D./D.O./D.D.S./D.V.M.","Widowed","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate provides no information","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate provides no information","Candidate provides no information","Candidate opposes major criminal justice reform","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",1,0,0,1,"POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"887","JAKE","PRETOT","MD",2,"Democrat","","","www.jakepretot.vote","Male","Yes, the candidate serves or served in the military","Master's Degree (includes MBA)","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"888","C.","RUPPERSBERGER","MD",2,"Democrat","Candidate is an incumbent Member of Congress","","www.dutchforcongress.com","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate supports status quo efforts to combat terrorism","Candidate provides no information","Establishment Democrat","",1,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","POSITIVE MENTION","NO MENTION","","Winner",""
"889","MITCHELL","TOLAND","MD",2,"Republican","","","www.mitchformd.com","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides complicated/complex/unclear position","Candidate opposes gun control of all kinds (including background checks)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate provides no information","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate provides no information","","Libertarian Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"890","Mark","Shell","MD",2,"Republican","","","www.shellforcongress.com","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"891","Hubert","Owens","MD",2,"Republican","","","https://www.hubertowens.com/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"892","LIZ","MATORY","MD",2,"Republican","","","https://www.lizmatory.com/","Female","No, the candidate does not include any information about serving in the military","J.D.","No information","","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,1,0,1,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"893","ADAM","DEMARCO","MD",3,"Democrat","","","www.electdemarco.com","Male","Yes, the candidate serves or served in the military","Bachelor's Degree","No information","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate supports raising taxes on the wealthy/corporations","Candidate supports placing smart regulations on business","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate notes Russia as political enemy of the United States","Establishment Democrat","",0,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","POSITIVE MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"894","JOHN","REA","MD",3,"Democrat","","","NONE","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Other","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"895","EDUARDO","ROSAS","MD",3,"Democrat","","","https://www.elect-eduardo.com/","Male","Yes, the candidate serves or served in the military","Other","Divorced","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Moderate Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"896","JOHN","SARBANES","MD",3,"Democrat","Candidate is an incumbent Member of Congress","","www.johnsarbanes.com","Male","No, the candidate does not include any information about serving in the military","J.D.","No information","Candidate mentions previous elected office experience","Candidate explicitly supports ACA","Candidate provides no information","Candidate supports raising taxes on the wealthy/corporations","Candidate supports placing smart regulations on business","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",1,0,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"897","ROB","SEYFFERTH","MD",3,"Republican","","","https://www.facebook.com/RobSeyfferthforCongress/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"898","THOMAS","HARRIS PINKSTON","MD",3,"Republican","","","NONE","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"899","CHARLES","ANTHONY","MD",3,"Republican","","","NONE","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"900","ANTHONY","BROWN","MD",4,"Democrat","Candidate is an incumbent Member of Congress","Candidate is a freshman incumbent Member of Congress","www.anthonybrown.com","Male","Yes, the candidate serves or served in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate explicitly supports ACA","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",1,0,1,0,"NO MENTION","POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"901","GEORGE","MCDERMOTT","MD",4,"Republican","","","www.georgemcdermott.com","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"902","DENNIS","FRITZ","MD",5,"Democrat","","","https://www.dennislfritz.com/","Male","Yes, the candidate serves or served in the military","Master's Degree (includes MBA)","No information","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"903","STENY","HOYER","MD",5,"Democrat","Candidate is an incumbent Member of Congress","","www.hoyerforcongress.com","Male","No, the candidate does not include any information about serving in the military","J.D.","Widowed","Candidate mentions previous elected office experience","Candidate explicitly supports ACA","Candidate supports raising the minimum wage","Candidate provides complicated/complex/unclear position","Candidate provides complicated/complex/unclear position","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate notes Russia as political enemy of the United States","Establishment Democrat","",1,0,1,0,"NEGATIVE MENTION","POSITIVE MENTION","NO MENTION","POSITIVE MENTION","NO MENTION","NO MENTION","","Winner",""
"904","JOHNNY","RICE","MD",5,"Republican","","","https://www.facebook.com/johnnyriceforcongress/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"POSITIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NEGATIVE MENTION","NO MENTION","","Loser",""
